"id","film.person","film.href","film","film.person.href","award","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age","wga","eddie","Hot","Dark","Ethnicity","Sexuality","Nationality","fall","white","black","american","british","R.rated","critic"
"Moonstruck Best Supporting Actor","Vincent Gardenia","http://www.imdb.com/title/tt0093565/","Moonstruck","http://www.imdb.com/name/nm0306696/","Best Supporting Actor",1988,0,1,0,16,15,102,1,1,0,1,0,"December",0,0,0,NA,0,1,0,1,1,80.640528,NA,"PG",0,68,1,0,0,0,"White","Straight","United States",1,1,0,1,0,0,NA
"Moonstruck Best Supporting Actress","Olympia Dukakis","http://www.imdb.com/title/tt0093565/","Moonstruck","http://www.imdb.com/name/nm0001156/","Best Supporting Actress",1988,1,0,0,16,15,102,1,1,0,1,0,"December",0,0,1,NA,0,1,0,1,1,80.640528,NA,"PG",0,57,1,0,0,0,"White","Straight","United States",1,1,0,1,0,0,NA
"Moulin Rouge! Best Actress","Nicole Kidman","http://www.imdb.com/title/tt0203009/","Moulin Rouge!","http://www.imdb.com/name/nm0000173/","Best Actress",2002,0,0,0,74,82,127,1,0,0,1,0,"May",0,0,0,0,0,0,1,0,1,57.386607,50,"PG-13",0,35,0,0,0,1,"White","Straight","United States",0,1,0,1,0,0,0
"Moulin Rouge! Best Picture",NA,"http://www.imdb.com/title/tt0203009/","Moulin Rouge!",NA,"Best Picture",2002,0,NA,NA,74,82,127,1,0,0,1,0,"May",0,0,0,0,0,0,1,0,1,57.386607,50,"PG-13",0,NA,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,0,0
"Mr. & Mrs. Bridge Best Actress","Joanne Woodward","http://www.imdb.com/title/tt0100200/","Mr. & Mrs. Bridge","http://www.imdb.com/name/nm0940946/","Best Actress",1991,0,3,1,9,4,126,1,0,0,0,0,"November",0,0,0,NA,0,0,0,0,0,7.69801,NA,"PG-13",1,61,0,0,0,0,"White","Straight","United States",1,1,0,1,0,0,NA
"Mr. Holland's Opus Best Actor","Richard Dreyfuss","http://www.imdb.com/title/tt0113862/","Mr. Holland's Opus","http://www.imdb.com/name/nm0000377/","Best Actor",1996,0,1,1,5,4,143,1,0,0,0,0,"December",0,0,0,0,0,0,0,0,0,82.528097,NA,"PG",0,49,0,0,0,0,"White","Straight","United States",1,1,0,1,0,0,0
"Mr. Saturday Night Best Supporting Actor","David Paymer","http://www.imdb.com/title/tt0104928/","Mr. Saturday Night","http://www.imdb.com/name/nm0001601/","Best Supporting Actor",1993,0,0,0,5,NA,119,1,1,0,0,0,"September",0,0,0,NA,0,0,0,0,0,13.351357,NA,"R",0,39,0,0,0,0,"White","Straight","United States",0,1,0,1,0,1,NA
"Mrs Brown Best Actress","Judi Dench","http://www.imdb.com/title/tt0119280/","Mrs Brown","http://www.imdb.com/name/nm0001132/","Best Actress",1998,0,0,0,13,15,105,1,0,1,0,0,"July",0,1,1,0,0,0,0,0,0,9.229808,NA,"PG",1,64,0,0,0,0,"White","Straight","Great Britain",0,1,0,0,1,0,0
"Mrs Henderson Presents Best Actress","Judi Dench","http://www.imdb.com/title/tt0413015/","Mrs Henderson Presents","http://www.imdb.com/name/nm0001132/","Best Actress",2006,0,4,1,6,25,103,1,1,0,0,0,"December",1,0,0,0,0,0,0,0,0,11.036366,NA,"R",1,72,0,0,0,0,"White","Straight","Great Britain",1,1,0,0,1,1,0
"Mulholland Dr. Best Director","David Lynch","http://www.imdb.com/title/tt0166924/","Mulholland Dr.","http://www.imdb.com/name/nm0000186/","Best Director",2002,0,3,0,42,33,147,1,0,0,0,0,"October",1,0,0,0,0,0,0,1,0,7.220243,NA,"R",0,56,0,0,0,0,"White","Straight","United States",0,1,0,1,0,1,0
