"film.person.href","film.href","film","id","award","film.person","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age"
NA,"http://www.imdb.com/title/tt0070047/","The Exorcist","The Exorcist Best Picture","Best Picture",NA,1974,0,NA,NA,13,14,122,0,0,0,0,0,"June",0,0,1,NA,0,1,1,1,1,193,12,"R",1,NA
NA,"http://www.imdb.com/title/tt0110932/","Quiz Show","Quiz Show Best Picture","Best Picture",NA,1995,0,NA,NA,13,13,133,1,0,1,0,0,"September",0,0,0,0,0,1,0,1,1,24.822619,NA,"PG-13",1,NA
NA,"http://www.imdb.com/title/tt0107943/","The Remains of the Day","The Remains of the Day Best Picture","Best Picture",NA,1994,0,NA,NA,18,18,134,1,0,0,1,0,"November",0,0,0,NA,0,1,0,1,1,23.237911,15,"PG",1,NA
NA,"http://www.imdb.com/title/tt0064418/","Hello, Dolly!","Hello, Dolly! Best Picture","Best Picture",NA,1970,0,NA,NA,1,13,146,0,1,0,1,0,"December",0,0,0,NA,0,0,1,0,1,33.136,25,"G",1,NA
NA,"http://www.imdb.com/title/tt0108052/","Schindler's List","Schindler's List Best Picture","Best Picture",NA,1994,1,NA,NA,70,25,195,1,0,1,0,0,"December",0,1,1,NA,1,1,1,1,1,96.065768,22,"R",1,NA
NA,"http://www.imdb.com/title/tt0082846/","On Golden Pond","On Golden Pond Best Picture","Best Picture",NA,1982,0,NA,NA,14,20,109,1,0,0,0,0,"December",0,0,1,NA,0,1,1,1,1,119.285432,NA,"PG",1,NA
NA,"http://www.imdb.com/title/tt0119822/","As Good as It Gets","As Good as It Gets Best Picture","Best Picture",NA,1998,0,NA,NA,31,30,139,1,1,0,1,0,"December",0,0,0,0,0,1,1,0,1,148.478011,50,"PG-13",0,NA
NA,"http://www.imdb.com/title/tt0947798/","Black Swan","Black Swan Best Picture","Best Picture",NA,2011,0,NA,NA,57,125,108,1,0,0,0,0,"November",1,0,0,0,0,0,1,1,1,106.954678,13,"R",0,NA
NA,"http://www.imdb.com/title/tt0064665/","Midnight Cowboy","Midnight Cowboy Best Picture","Best Picture",NA,1970,1,NA,NA,26,12,113,1,0,0,0,0,"May",0,1,0,NA,1,1,1,1,1,44.785053,3.6,"R",1,NA
NA,"http://www.imdb.com/title/tt0097937/","My Left Foot","My Left Foot Best Picture","Best Picture",NA,1990,0,NA,NA,23,14,103,1,0,1,0,0,"November",1,0,0,NA,0,1,0,1,1,14.743391,NA,"R",1,NA
NA,"http://www.imdb.com/title/tt1193138/","Up in the Air","Up in the Air Best Picture","Best Picture",NA,2010,0,NA,NA,64,66,109,1,0,0,1,0,"December",1,0,0,0,0,1,0,1,1,83.823381,25,"R",1,NA
NA,"http://www.imdb.com/title/tt0070735/","The Sting","The Sting Best Picture","Best Picture",NA,1974,1,NA,NA,10,6,129,1,1,0,0,0,"December",0,0,0,NA,1,1,1,1,1,156,5.5,"PG",0,NA
NA,"http://www.imdb.com/title/tt0082971/","Raiders of the Lost Ark","Raiders of the Lost Ark Best Picture","Best Picture",NA,1982,0,NA,NA,25,22,115,0,0,0,0,1,"June",0,0,0,NA,0,0,1,1,1,212.222025,18,"PG",0,NA
NA,"http://www.imdb.com/title/tt0082979/","Reds","Reds Best Picture","Best Picture",NA,1982,0,NA,NA,31,20,195,1,0,1,0,0,"December",0,0,0,NA,1,1,1,1,1,40.382659,32,"PG",0,NA
NA,"http://www.imdb.com/title/tt0407887/","The Departed","The Departed Best Picture","Best Picture",NA,2007,1,NA,NA,63,62,151,1,0,0,0,0,"September",0,0,0,0,1,1,1,1,1,132.384315,90,"R",0,NA
NA,"http://www.imdb.com/title/tt0090329/","Witness","Witness Best Picture","Best Picture",NA,1986,0,NA,NA,10,26,112,1,0,0,1,0,"February",0,0,0,NA,0,1,1,1,1,68.706993,12,"R",0,NA
NA,"http://www.imdb.com/title/tt0099077/","Awakenings","Awakenings Best Picture","Best Picture",NA,1991,0,NA,NA,6,7,121,1,0,1,0,0,"December",0,0,0,NA,0,1,0,0,1,52.096475,NA,"PG-13",1,NA
NA,"http://www.imdb.com/title/tt0408306/","Munich","Munich Best Picture","Best Picture",NA,2006,0,NA,NA,16,24,164,1,0,1,0,0,"December",0,0,0,0,0,1,1,1,1,47.403685,70,"R",1,NA
NA,"http://www.imdb.com/title/tt0976051/","The Reader","The Reader Best Picture","Best Picture",NA,2009,0,NA,NA,16,33,124,1,0,0,1,0,"December",0,0,0,0,0,1,0,1,1,34.194407,32,"R",1,NA
NA,"http://www.imdb.com/title/tt0095953/","Rain Man","Rain Man Best Picture","Best Picture",NA,1989,1,NA,NA,21,19,133,1,0,0,0,0,"December",0,0,1,NA,1,1,1,1,1,172.825435,25,"R",0,NA
NA,"http://www.imdb.com/title/tt0065234/","Z","Z Best Picture","Best Picture",NA,1970,0,NA,NA,10,10,127,1,0,1,0,0,"December",0,0,0,NA,0,1,1,1,1,NA,NA,NA,1,NA
NA,"http://www.imdb.com/title/tt0083866/","E.T. the Extra-Terrestrial","E.T. the Extra-Terrestrial Best Picture","Best Picture",NA,1983,0,NA,NA,47,28,115,0,0,0,0,1,"June",0,0,1,NA,0,1,1,1,1,359.197037,10.5,"PG",0,NA
NA,"http://www.imdb.com/title/tt0109830/","Forrest Gump","Forrest Gump Best Picture","Best Picture",NA,1995,1,NA,NA,38,46,142,1,0,0,1,0,"June",0,0,1,0,1,1,1,1,1,329.694499,55,"PG-13",1,NA
NA,"http://www.imdb.com/title/tt0065377/","Airport","Airport Best Picture","Best Picture",NA,1971,0,NA,NA,5,17,137,1,0,0,0,0,"March",0,0,0,NA,0,1,1,0,1,100.489151,10,"G",1,NA
